,0,1
0,0.5614344295668152,OverallQual
1,0.11682643522232222,GrLivArea
2,0.03272481072466573,TotalBsmtSF
3,0.030048360553201734,2ndFlrSF
4,0.02862729856352752,BsmtFinSF1
5,0.02554292114850452,1stFlrSF
6,0.020997074675595976,GarageCars
7,0.014945532978755663,LotArea
8,0.01451859095491584,GarageArea
9,0.010651047996763497,YearBuilt
10,0.00905119728446463,BsmtQual_Ex
11,0.007454076822264506,LotFrontage
12,0.0066597833314065305,GarageYrBlt
13,0.006508184427578889,YearRemodAdd
14,0.005769743197026391,TotRmsAbvGrd
15,0.005585651224491027,OpenPorchSF
16,0.005579309248060678,FullBath
17,0.004984024291643135,WoodDeckSF
18,0.004879329854811316,BsmtUnfSF
19,0.003900342798496635,OverallCond
20,0.003811704705331797,MasVnrArea
21,0.002957790555978096,MoSold
22,0.002909440724115267,ScreenPorch
23,0.0026550982516830757,Fireplaces
24,0.0023428423023185286,GarageType_Detchd
25,0.0023301455480485254,MSSubClass
26,0.002286438748068659,KitchenQual_Gd
27,0.0020048129460136133,BsmtQual_Gd
28,0.0017289322862334955,ExterQual_Ex
29,0.0016932539176887985,GarageFinish_Unf
30,0.0016333953396442185,FireplaceQu_no value
31,0.0015670174828983211,YrSold
32,0.001562584039337986,BedroomAbvGr
33,0.0014448041546360492,BsmtExposure_Gd
34,0.0014353234607285203,GarageType_Attchd
35,0.001367926802763313,KitchenQual_Ex
36,0.0012129531535061862,LotShape_Reg
37,0.0011625986847479846,CentralAir_Y
38,0.001126160793052442,MSZoning_RM
39,0.0011167622798099013,CentralAir_N
40,0.0010094288221084104,ExterQual_Gd
41,0.0009593174150137556,BsmtExposure_No
42,0.0009199899082606957,LandContour_Bnk
43,0.000778332449779147,KitchenQual_TA
44,0.0007781412932281759,FireplaceQu_Gd
45,0.0007749156987156772,KitchenAbvGr
46,0.0007388979530321333,PoolArea
47,0.0007101098867591257,BsmtFullBath
48,0.0007063641040294746,BsmtFinType1_GLQ
49,0.000700108453141351,Neighborhood_Edwards
50,0.0006934789148690455,LandContour_Lvl
51,0.0006788613312422008,Neighborhood_Crawfor
52,0.0006577064948231781,SaleCondition_Abnorml
53,0.000654878945462398,HalfBath
54,0.0006465179872861085,MSZoning_RL
55,0.000635495835453084,PoolQC_Ex
56,0.0006263822794226666,SaleType_New
57,0.000601393454571162,ExterQual_TA
58,0.0005858582342821931,EnclosedPorch
59,0.0005836191981766273,GarageFinish_Fin
60,0.000580185931356092,BsmtFinSF2
61,0.0005674122262086997,SaleCondition_Partial
62,0.000561845724820518,Neighborhood_NoRidge
63,0.0005609299739155524,GarageFinish_RFn
64,0.0005413804067203586,LotConfig_CulDSac
65,0.0005331759029425356,SaleType_WD
66,0.0005259380003675241,Condition1_Norm
67,0.0005110738313396184,SaleCondition_Normal
68,0.000503206792602702,Exterior2nd_VinylSd
69,0.0004915219929785808,Fence_MnPrv
70,0.0004890077759123894,HouseStyle_2Story
71,0.00048438511067611616,LotConfig_Corner
72,0.0004793829980242838,LandSlope_Gtl
73,0.0004733763229927732,LotConfig_Inside
74,0.00046981382831334524,ExterCond_TA
75,0.0004564988274228524,Exterior1st_MetalSd
76,0.0004415721379619599,FireplaceQu_Ex
77,0.00043534356454300965,MasVnrType_Stone
78,0.00042318291015468803,FireplaceQu_TA
79,0.00042250655244210596,Functional_Typ
80,0.00041316565471472477,HeatingQC_TA
81,0.0003870591845602593,LotShape_IR1
82,0.00037452654511253467,LandContour_HLS
83,0.0003743482964381337,Exterior2nd_ImStucc
84,0.0003609028986221603,Exterior2nd_MetalSd
85,0.00035288512975946586,Foundation_PConc
86,0.0003485766223792703,RoofStyle_Gable
87,0.00034749931501662046,RoofStyle_Hip
88,0.0003405977044135154,MasVnrType_BrkFace
89,0.0003364316045922126,Fence_no value
90,0.00033324473513292107,SaleCondition_Family
91,0.00030609578315974847,HeatingQC_Ex
92,0.0003057784157532078,BsmtExposure_Av
93,0.000302072473286737,Neighborhood_StoneBr
94,0.0003004033050118725,Exterior1st_Wd Sdng
95,0.0002947761235351336,Exterior1st_VinylSd
96,0.00029203793383392613,MasVnrType_None
97,0.00029007903844351286,BsmtFinType1_Unf
98,0.0002858754421621771,RoofMatl_CompShg
99,0.00028536911574580297,ExterCond_Gd
100,0.00028311384944834975,BsmtQual_TA
101,0.0002811953692521712,Neighborhood_CollgCr
102,0.00027879399169946983,BsmtFinType1_ALQ
103,0.0002740172181316916,Foundation_BrkTil
104,0.0002716224281708862,PoolQC_no value
105,0.0002706278084980012,Neighborhood_NridgHt
106,0.0002656136300015608,Condition1_PosN
107,0.00026154263856032373,Neighborhood_Timber
108,0.00026027032993641185,Alley_no value
109,0.00025288047462734267,GarageQual_TA
110,0.0002440307230077873,BsmtCond_TA
111,0.00023564565491418756,HeatingQC_Fa
112,0.00023206830686397438,Neighborhood_Somerst
113,0.00023021245875774212,LotShape_IR2
114,0.00022685655189145127,HouseStyle_1.5Fin
115,0.00022583222028801532,PavedDrive_N
116,0.00022283013816438055,Neighborhood_ClearCr
117,0.00022225765054983583,HeatingQC_Gd
118,0.00021501924201182754,Foundation_CBlock
119,0.0002141037072344138,BldgType_1Fam
120,0.00021264283157914439,GarageCond_TA
121,0.00021196012392977708,3SsnPorch
122,0.00020961091803212639,Exterior2nd_HdBoard
123,0.00019631022308262745,GarageType_BuiltIn
124,0.00019026210388758467,BsmtFinType2_ALQ
125,0.00018456507668758045,BsmtFinType2_Unf
126,0.00018418696194522576,Exterior2nd_Wd Sdng
